rowid,pl_letter,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_name,hip_name
3278,c,,1168,,,6.28536,Mass,1.22,,Ross 458 c,HIP 63510
3342,b,0.94145299,0.02026,0.0092,86,10.43,Mass,1.165,8.78,WASP-18 b,HIP 7562
3357,b,1.2198669,0.02555,,87.67,4.1,Mass,1.497,,WASP-33 b,HIP 11397
3435,b,4.8869,0.0375,0.15,,0.00601,Msini,,,Wolf 1061 b,HIP 80824
3436,c,17.8719,0.089,0.11,,0.01073,Msini,,,Wolf 1061 c,HIP 80824
3437,d,217.21,0.47,0.55,,0.02423,Msini,,,Wolf 1061 d,HIP 80824
3446,b,380.8,1.2,0.25,,1.8,Msini,,,alf Ari b,HIP 9884
3447,b,628.96,1.46,0.1,,6.47,Msini,,,alf Tau b,HIP 21421
3448,b,605.2,1.7,0.08,,7.8,Msini,,,bet Cnc b,HIP 40526
3449,b,7665,9.1,0.08,88.9,,,,,bet Pic b,HIP 27321
3450,b,522.3,1.4,0.19,,6.1,Msini,,,bet UMi b,HIP 72607
3451,b,417.9,1.3,0.11,,6.7,Msini,,,eps CrB b,HIP 78159
3452,b,2502,3.39,0.702,30.1,1.55,Mass,,,eps Eri b,HIP 16537
3453,b,594.9,1.93,0.151,,7.6,Msini,,,eps Tau b,HIP 20889
3454,b,428.5,1.19,0.144,,8.78,Msini,,,gam 1 Leo b,HIP 50583 A
3455,b,903.3,2.05,0.049,,1.85,Msini,,,gam Cep b,HIP 116727
3456,b,,55,,,13.616,Mass,,,kap And b,HIP 116805
3457,b,1261.94,2.8,0.044,60,2,Mass,,,kap CrB b,HIP 77655
3458,b,357.8,1.1,0.09,,2.4,Msini,,,mu Leo b,HIP 48455
3459,b,530.32,1.9,0.1256,,24,Msini,,,nu Oph b,HIP 88048
3460,c,3186,6.1,0.165,,27,Msini,,,nu Oph c,HIP 88048
3461,b,277.02,1.1,0.106,,1.7,Msini,,,ome Ser b,HIP 77578
3462,b,187.83,0.83,0.191,,1.5,Msini,,,omi CrB b,HIP 75049
3463,b,1630,3.9,0.13,,4.1,Msini,,,omi UMa b,HIP 41704
3464,b,3117,4.43,0.4,,1.53,Msini,,,psi Dra B b,HIP 86620
3465,b,39.8458,0.2196,0.0373,,1.0449,Msini,,,rho CrB b,HIP 78459
3466,c,102.54,0.4123,0.052,,0.07866,Msini,,,rho CrB c,HIP 78459
3467,b,3.3124568,0.049,0.011,,4.32,Msini,,,tau Boo b,HIP 67275
3468,b,305.5,1.17,0.031,,20.6,Msini,,,tau Gem b,HIP 34693
3469,b,4.617033,0.059222,0.0215,,0.6876,Msini,,,ups And b,HIP 7513
3470,c,241.258,0.827774,0.2596,,1.981,Msini,,,ups And c,HIP 7513
3471,d,1276.46,2.51329,0.2987,,4.132,Msini,,,ups And d,HIP 7513
3472,b,136.75,0.68,0,,2.8,Msini,,,xi Aql b,HIP 97938
