rowid,pl_letter,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_name,hip_name
374,b,2899,3.98,0.52,,2.18,Msini,,,HD 152079 b,HIP 82632
375,b,689,1.48,0.074,,1.5,Msini,,,HD 152581 b,HIP 82651
376,b,499.4,1.28,0.34,,2.73,Msini,,,HD 153950 b,HIP 83547
377,b,3342,4.19,0.044,,0.947,Msini,,,HD 154345 b,HIP 83389
378,b,163.967,0.59,0.6,,4.73,Msini,,,HD 154672 b,HIP 83983
379,b,408.6,1.291,0.46,,2.24,Msini,,,HD 154857 b,HIP 84069
380,c,3452,5.36,0.06,,2.58,Msini,,,HD 154857 c,HIP 84069
381,b,818.8,2,0.04,,2.6,Msini,,,HD 155233 b,HIP 84056
382,b,194.3,0.64,0.17,,0.85,Msini,,,HD 155358 b,HIP 83949
383,c,391.9,1.02,0.16,,0.82,Msini,,,HD 155358 c,HIP 83949
384,b,131.05,0.495,0.708,,9.71,Msini,,,HD 156279 b,HIP 84171
385,b,842.2,1.88,0.22,,0.74,Msini,,,HD 156411 b,HIP 84787
386,b,4.6455,0.05,0,,0.013,Msini,,,HD 156668 b,HIP 84607
387,b,359.5546,1.096,0.84785,,10.57,Msini,,,HD 156846 b,HIP 84856
388,b,521,1.52,0.291,,1.8,Msini,,,HD 158038 b,HIP 85294
389,b,12.62,0.11,0.02,,1.13,Msini,,,HD 159243 b,HIP 85911
390,c,248.4,0.8,0.075,,1.9,Msini,,,HD 159243 c,HIP 85911
391,b,1178.4,2.25,0.01,,2.1,Msini,,,HD 159868 b,HIP 86375
392,c,352.3,1,0.15,,0.73,Msini,,,HD 159868 c,HIP 86375
393,b,577.9,1.48,0.078,,0.96,Msini,,,HD 1605 b,HIP 1640
394,c,2111,3.52,0.098,,3.48,Msini,,,HD 1605 c,HIP 1640
395,b,643.25,1.497,0.128,,1.08,Msini,,,HD 160691 b,HIP 86796
396,c,4205.8,5.235,0.0985,,1.814,Msini,,,HD 160691 c,HIP 86796
397,d,9.6386,0.09094,0.172,,0.03321,Msini,,,HD 160691 d,HIP 86796
398,e,310.55,0.921,0.0666,,0.5219,Msini,,,HD 160691 e,HIP 86796
399,b,75.523,0.363,0.252,,0.26,Msini,,,HD 16141 b,HIP 12048
400,b,995.4,2.148,0.637,,4.77,Msini,,,HD 16175 b,HIP 12191
401,b,8.428198,0.074,0.277,,14.4,Msini,,,HD 162020 b,HIP 87330
402,b,75.29,0.36,0.73,,0.77,Msini,,,HD 163607 b,HIP 87601
403,c,1314,2.42,0.12,,2.29,Msini,,,HD 163607 c,HIP 87601
404,b,17.24,0.14,0.2,,0.0696,Msini,,,HD 16417 b,HIP 12186
405,b,282.4,0.875,0.26,,0.48,Msini,,,HD 164509 b,HIP 88268
406,b,40,0.23,0.088,,0.05078,Msini,,,HD 164595 b,HIP 88194
407,b,606.4,1.3,0.24,,2.7,Msini,,,HD 164604 b,HIP 88414
408,b,1201.1,2.115,0.126,,0.33855,Msini,,,HD 164922 b,HIP 88348
409,c,75.765,0.3351,0.22,,0.04059,Msini,,,HD 164922 c,HIP 88348
410,b,434.5,1.13,0.2,,2.89,Msini,,,HD 165155 b,HIP 88650
411,b,270,0.94,0.63,,6.43,Msini,,,HD 1666 b,HIP 1666
412,b,5144,5.42,0.734,,3.53,Msini,,,HD 166724 b,HIP 89354
413,b,420.77,1.32,0.089,,1.7,Msini,,,HD 167042 b,HIP 89047
414,b,58.11247,0.2931,0.52883,,7.659,Msini,,,HD 168443 b,HIP 89844
415,c,1749.83,2.8373,0.2113,,17.193,Msini,,,HD 168443 c,HIP 89844
416,b,6.404,0.0659,0.107,,0.248,Msini,,,HD 168746 b,HIP 90004
417,b,533,1.3,0.64,,6.1,Msini,,,HD 1690 b,HIP 1692
418,b,225.62,0.81,0.31,,2.88,Msini,,,HD 169830 b,HIP 90485
419,c,2102,3.6,0.33,,4.04,Msini,,,HD 169830 c,HIP 90485
420,b,1145,2.1,0.11,,0.67,Msini,,,HD 170469 b,HIP 90593
423,b,1523,2.54,0.4,,2.6,Msini,,,HD 171238 b,HIP 91085
424,b,21.21663,0.1614,0.6819,87.89,3.22,Mass,1.02,3.78,HD 17156 b,HIP 13192
425,b,323.6,1.16,0.21,,2.7,Msini,,,HD 173416 b,HIP 91852
426,b,1290,2.4,0.54,,7.8,Msini,,,HD 175167 b,HIP 93281
427,b,297.3,1.03,0.33,,0.61,Msini,,,HD 175541 b,HIP 92895
428,b,29.01,,0.11,,0.02825,Msini,,,HD 175607 b,HIP 93373
429,b,623.8,1.42,0.13,,0.87,Msini,,,HD 17674 b,HIP 13291
430,b,406.6,1.2218,0.009,,1.49,Msini,,,HD 177830 b,HIP 93746
431,c,110.9,0.5137,0.3,,0.15,Msini,,,HD 177830 c,HIP 93746
432,b,71.484,0.339,0.114,,7.03,Msini,,,HD 178911 B b,HIP 94075
433,b,14.476,0.1216,0.115,,0.0866,Msini,,,HD 179079 b,HIP 94256
434,b,3.092514,0.0443,0.022,,0.916,Msini,,,HD 179949 b,HIP 94645
435,b,396.03,1.4,0.257,,22,Msini,,,HD 180314 b,HIP 94576
436,b,479,1.39,0.09,,1.6,Msini,,,HD 180902 b,HIP 94951
437,b,562.1,1.65,0.1,,2.9,Msini,,,HD 181342 b,HIP 95124
438,b,9.3743,0.08,0.396,,0.024,Msini,,,HD 181433 b,HIP 95467
439,c,962,1.76,0.28,,0.64,Msini,,,HD 181433 c,HIP 95467
440,d,2172,3,0.48,,0.54,Msini,,,HD 181433 d,HIP 95467
441,b,956,1.78,0.26,,0.37,Msini,,,HD 181720 b,HIP 95262
442,b,626.5,1.51,0.3567,,3.67,Msini,,,HD 183263 b,HIP 95740
443,c,3070,4.35,0.239,,3.57,Msini,,,HD 183263 c,HIP 95740
444,b,6.838,0.077,0.3,,0.94,Msini,,,HD 185269 b,HIP 96507
445,b,986,2.05,0.47,,0.75,Msini,,,HD 187085 b,HIP 97546
446,b,3.0965828,0.0426,0.0103,,0.523,Msini,,,HD 187123 b,HIP 97336
447,c,3810,4.89,0.252,,1.99,Msini,,,HD 187123 c,HIP 97336
448,b,772,1.92,0.12,,2.7,Msini,,,HD 18742 b,HIP 13993
449,b,461.2,1.203,0.137,,1.5,Msini,,,HD 188015 b,HIP 97769
450,b,2.2185752,,,,,,,,HD 189733 b,HIP 98505
451,b,2915,4.01,0.313,,1.56,Msini,,,HD 190360 b,HIP 98767
452,c,17.111,0.1304,0.237,,0.06,Msini,,,HD 190360 c,HIP 98767
453,b,1038.1,2.07,0.18,,1.9,Msini,,,HD 190647 b,HIP 99115
454,b,4885,5.5,0.57,,3.1,Msini,,,HD 190984 b,HIP 99496
455,b,1606.3,2.8,0.259,,8.52,Msini,,,HD 191806 b,HIP 99306
456,b,24.3587,0.15312,0.008,,0.733,Msini,,,HD 192263 b,HIP 99711
457,b,74.72,0.32,0.13,90,0.0532,Msin(i)/sin(i),,,HD 192310 b,HIP 99825
458,c,525.8,1.18,0.32,90,0.076,Msin(i)/sin(i),,,HD 192310 c,HIP 99825
459,b,345.53,1.15,0.129,,2.4,Msini,,,HD 192699 b,HIP 99894
460,b,18.20132,0.1388,0.0138,,3.69,Msini,,,HD 195019 b,HIP 100970
461,b,1378,2.54,0.228,,2.9,Msini,,,HD 196050 b,HIP 101806
462,b,3638,5.02,0.66,,6.9,Msini,,,HD 196067 b,HIP 102125
463,b,1333,2.37,0.48,,2.58,Msini,,,HD 196885 b,HIP 101966
464,b,1035.7,2.07,0.22,,0.79,Msini,,,HD 197037 b,HIP 101948
465,b,466.2,1.305,0.063,,1.37,Msini,,,HD 19994 b,HIP 14954
466,b,613.8,1.601,0.04,,1.85,Msini,,,HD 200964 b,HIP 104202
467,c,825,1.95,0.181,,0.895,Msini,,,HD 200964 c,HIP 104202
468,b,255.87,0.83,0.435,90,17.4,Msin(i)/sin(i),,,HD 202206 b,HIP 104903
469,c,1383.4,2.55,0.267,90,2.44,Msin(i)/sin(i),,,HD 202206 c,HIP 104903
470,b,,487.1,,,24.09,Mass,,,HD 203030 b,HIP 105232
471,b,1120,2.23,0.715,,6.11,Msini,,,HD 2039 b,HIP 1931
472,b,2024.1,3.167,0.0946,,4.28,Msini,,,HD 204313 b,HIP 106006
473,c,34.905,0.2099,0.155,,0.0553,Msini,,,HD 204313 c,HIP 106006
474,b,1733,2.56,0.37,,0.266,Msini,,,HD 204941 b,HIP 106353
475,b,279.8,0.896,0.27,,1.37,Msini,,,HD 205739 b,HIP 106824
476,b,610,1.68,0.229,,2.2,Msini,,,HD 206610 b,HIP 107251
477,b,597.065,1.397,0.956,,1.43,Msini,,,HD 20782 b,HIP 15527
478,b,161.97,0.57,0.13,,0.56,Msini,,,HD 207832 b,HIP 107985
479,c,1155.7,2.112,0.27,,0.73,Msini,,,HD 207832 c,HIP 107985
480,b,18.315,0.1207,0,90,0.0085,Msin(i)/sin(i),,,HD 20794 b,HIP 15510
481,c,40.114,0.2036,0,90,0.0076,Msin(i)/sin(i),,,HD 20794 c,HIP 15510
482,d,90.309,0.3499,0,90,0.015,Msin(i)/sin(i),,,HD 20794 d,HIP 15510
483,b,130.08,0.524,0.24,,0.52,Msini,,,HD 208487 b,HIP 108375
484,b,875.5,2.1,0.08,,9.9,Msini,,,HD 208527 b,HIP 108296
485,b,380.85,0.947,0.75,,1.99,Msini,,,HD 20868 b,HIP 15578
486,b,3.52474859,,,86.929,,,1.32,,HD 209458 b,HIP 108859
487,b,442.19,1.138,0.476,,1.29,Msini,,,HD 210277 b,HIP 109378
488,b,354.8,1.2,0.094,,1.9,Msini,,,HD 210702 b,HIP 109577
489,b,2.245715,0.036,0,,0.45,Msini,,,HD 212301 b,HIP 110852
490,b,373.3,1.22,0.111,,2.3,Msini,,,HD 212771 b,HIP 110813
491,b,951,2.03,0.45,,4.5,Msini,,,HD 213240 b,HIP 111143
492,b,1877,3.18,0.154,,19.2,Msini,,,HD 214823 b,HIP 111928
493,b,3.93404,0.047,0.16,,0.02,Msini,,,HD 215497 b,HIP 112441
494,c,567.94,1.282,0.49,,0.33,Msini,,,HD 215497 c,HIP 112441
495,b,1311,2.56,0.07,,1.26,Msini,,,HD 216435 b,HIP 113044
496,b,1256,2.32,0.29,,1.82,Msini,,,HD 216437 b,HIP 113137
498,b,118.45,0.46,0.37,,0.65,Msini,,,HD 216770 b,HIP 113238
499,b,7.126816,0.0748,0.1267,,1.39,Msini,,,HD 217107 b,HIP 113421
500,c,4270,5.32,0.517,,2.6,Msini,,,HD 217107 c,HIP 113421
501,b,1319,2.38,0.4,,13,Msini,,,HD 217786 b,HIP 113834
502,b,225.7,0.6873,0.3,,0.21,Msini,,,HD 218566 b,HIP 114322
503,b,5501,6.22,0.77,,10.39,Msini,,,HD 219077 b,HIP 114699
504,b,3.092926,0.03876,0,85.05,0.01491,Mass,0.143,6.34,HD 219134 b,HIP 114622
505,c,6.76458,0.0653,0.062,87.28,0.01372,Mass,0.135,6.95,HD 219134 c,HIP 114622
506,d,46.859,0.237,0.138,,0.05088,Mass,0.144,,HD 219134 d,HIP 114622
507,f,22.717,0.1463,0.148,,0.02297,Mass,0.117,,HD 219134 f,HIP 114622
508,g,94.2,0.3753,0,,0.034,Msini,,,HD 219134 g,HIP 114622
509,h,2247,3.11,0.06,,0.34,Msini,,,HD 219134 h,HIP 114622
511,b,3.834887,0.045,0.059,,0.06607,Msini,,,HD 219828 b,HIP 115100
512,c,4791,5.96,0.8115,,15.1,Msini,,,HD 219828 c,HIP 115100
513,b,672.1,1.6,0.14,,11.1,Msini,,,HD 220074 b,HIP 115218
514,b,2209,3.36,0.16,,1.06,Msini,,,HD 220689 b,HIP 115662
515,b,3724.7,4.94,0.51,,1.45,Msini,,,HD 220773 b,HIP 115697
516,b,218.47,0.74,0.404,,3.18,Msini,,,HD 220842 b,HIP 115714
517,b,456.1,1.25,0.08,,3.09,Msini,,,HD 221287 b,HIP 116084
518,b,1173,2.306,0.123,,1.61,Msini,,,HD 221585 b,HIP 116221
519,b,871,1.83,0.08,,1.56,Msini,,,HD 222076 b,HIP 116630
520,b,3999,5.1,0.16,,1.9,Msini,,,HD 222155 b,HIP 116616
521,b,572.38,1.347,0.725,,7.75,Msini,,,HD 222582 b,HIP 116906
522,b,1189.1,2.28,0.464,,5.97,Msini,,,HD 224538 b,HIP 118228
523,b,26.73,0.192,0.05,,0.71,Msini,,,HD 224693 b,HIP 118319
524,b,528.07,1.167,0.8191,,13.65,Msini,,,HD 22781 b,HIP 17187
525,b,730.6,1.596,0.102,,2.45,Msini,,,HD 23079 b,HIP 17096
526,b,1214,2.4,0.44,,1.5,Msini,,,HD 23127 b,HIP 17054
527,b,141.6,0.53,0.1,,1.08,Msini,,,HD 231701 b,HIP 96078
529,b,1561,2.772,0.266,,7.71,Msini,,,HD 23596 b,HIP 17747
531,b,745.7,1.9,0.4,,5.3,Msini,,,HD 240237 b,HIP 114840
532,b,3668,4.92,0.04,,4.01,Msini,,,HD 24040 b,HIP 17960
533,b,535.6,1.29,0.35,,9.4,Msini,,,HD 24064 b,HIP 18451
534,b,1845,3.02,0.08,,0.95,Msini,,,HD 25171 b,HIP 18387
535,b,3.4442,0.044,0,,0.48,Msini,,,HD 2638 b,HIP 2350
536,b,428.1,1.271,0.06,,1.56,Msini,,,HD 27442 b,HIP 19921
537,b,2208,3.25,0.12,,1.45,Msini,,,HD 27631 b,HIP 20199
538,b,17.9904,0.125,0.0486,,0.645,Msini,,,HD 27894 b,HIP 20277
539,b,385.9,1.032,0.092,,5.59,Msini,,,HD 28185 b,HIP 20723
540,b,1116,2.15,0.81,,1.16,Msini,,,HD 28254 b,HIP 20606
541,b,6.0881,,0.086,,0.917,Msini,,,HD 285507 b,HIP 19207
542,b,8.7836,0.066,0,,0.026,Msini,,,HD 285968 b,HIP 21932
543,b,387.1,1.25,0.168,,1.7,Msini,,,HD 28678 b,HIP 21109
544,b,1362.3,2.28,0.459,,2.4,Msini,,,HD 29021 b,HIP 21571
545,b,2443,3.43,0.08,,2.54,Msini,,,HD 290327 b,HIP 25191
546,b,311.6,1.2,0.129,,1.6,Msini,,,HD 2952 b,HIP 2611
547,b,2524.4,3.58,0.184,,8.08,Msini,,,HD 30177 b,HIP 21850
548,c,11613,9.89,0.22,,7.6,Msini,,,HD 30177 c,HIP 21850
549,b,1159.2,2.315,0.778,,1.373,Msini,,,HD 30562 b,HIP 22336
550,b,1684,2.69,0.18,,0.47,Msini,,,HD 30669 b,HIP 22320
551,b,912,1.8,0.117,,1.8,Msini,,,HD 30856 b,HIP 22491
552,b,466,1.26,0.3,,0.5,Msini,,,HD 31253 b,HIP 22826
553,b,0.959628,,,88.4,,,0.139,,HD 3167 b,HIP 2736
554,c,29.8454,,,89.27,,,0.254,,HD 3167 c,HIP 2736
555,b,157.54,0.59,0.01,,3.04,Msini,,,HD 32518 b,HIP 24003
556,b,2372,3.41,0.07,,0.7,Msini,,,HD 32963 b,HIP 23884
557,b,3.38773,0.039,0,,0.62,Msini,,,HD 330075 b,HIP 77517
558,b,326.6,1.06,0.12,,1.3,Msini,,,HD 33142 b,HIP 23844
559,b,18.179,0.145,0.48,,0.33,Msini,,,HD 33283 b,HIP 23889
560,b,388,1.1,0.34,,9.1,Msini,,,HD 33564 b,HIP 25110
561,b,551.4,1.6,0.15,,1.96,Msini,,,HD 33844 b,HIP 24275
562,c,916,2.24,0.13,,1.75,Msini,,,HD 33844 c,HIP 24275
563,b,1049,2.07,0.27,,0.79,Msini,,,HD 34445 b,HIP 24681
564,b,82.467,0.389,0.389,,3.76,Msini,,,HD 35759 b,HIP 25883
565,b,62.218,0.295,0.596,,0.229,Msini,,,HD 3651 b,HIP 3093
566,b,154.378,0.53364,0.054,,0.675,Msini,,,HD 37124 b,HIP 26381
567,c,885.5,1.71,0.125,,0.652,Msini,,,HD 37124 c,HIP 26381
568,d,1862,2.807,0.16,,0.696,Msini,,,HD 37124 d,HIP 26381
569,b,55.01307,0.2831,0.6767,,2.802,Msini,,,HD 37605 b,HIP 26664
570,c,2720,3.814,0.013,,3.366,Msini,,,HD 37605 c,HIP 26664
571,b,363.2,1.02,0.41,,0.34,Msini,,,HD 38283 b,HIP 26380
572,b,14.3098,0.131,0.257,,0.839,Msini,,,HD 38529 b,HIP 27253
573,c,2140.2,3.712,0.341,,13.38,Msini,,,HD 38529 c,HIP 27253
574,b,696.3,1.7,0,,10.7,Msini,,,HD 38801 b,HIP 27384
575,b,2151,3.38,0.6405,,10.27,Msini,,,HD 39091 b,HIP 26394
576,b,4.3123,0.0468,0.2,,0.0126,Msini,,,HD 40307 b,HIP 27887
577,c,9.6184,0.0799,0.06,,0.0208,Msini,,,HD 40307 c,HIP 27887
578,d,20.432,0.1321,0.07,,0.0299,Msini,,,HD 40307 d,HIP 27887
579,f,51.76,0.247,0.02,,0.0164,Msini,,,HD 40307 f,HIP 27887
580,g,197.8,0.6,0.29,,0.0223,Msini,,,HD 40307 g,HIP 27887
581,b,264.15,0.846,0.252,,4.01,Msini,,,HD 40979 b,HIP 28767
582,b,963,,0.74,,2.54,Msini,,,HD 41004 A b,HIP 28393 A
583,b,1.3283,,0.081,,18.37,Msini,,,HD 41004 B b,HIP 28393 B
584,b,526.62,1.28,0.903,,1.56,Msini,,,HD 4113 b,HIP 3391
585,b,857.5,1.67,0.2,,1.6,Msini,,,HD 42012 b,HIP 29242
586,b,437.05,1.1735,0.52,,1.82,Msini,,,HD 4203 b,HIP 3502
587,c,6700,6.95,0.24,,2.17,Msini,,,HD 4203 c,HIP 3502
588,b,828,1.65,0.052,,0.804,Msini,,,HD 4208 b,HIP 3479
589,b,149.61,0.554,0.19,,0.04531,Msini,,,HD 42618 b,HIP 29432
590,b,15.56,0.115,0,,0.0442,Msini,,,HD 4308 b,HIP 3497
591,b,356,1.19,0.041,,2.3,Msini,,,HD 4313 b,HIP 3574
592,b,327.8,0.92,0.83,,0.6,Msini,,,HD 43197 b,HIP 29550
593,b,36.96,0.24,0.14,,2.49,Msini,,,HD 43691 b,HIP 30057
594,b,472.3,1.19,0.61,,0.58,Msini,,,HD 44219 b,HIP 30114
595,b,963.6,1.92,0.778,,1.79,Msini,,,HD 45350 b,HIP 30860
596,b,226.93,0.6813,0.1684,,0.1872,Msini,,,HD 45364 b,HIP 30579
597,c,342.85,0.8972,0.0974,,0.6579,Msini,,,HD 45364 c,HIP 30579
598,b,43.6,0.23,0.38,,0.47,Msini,,,HD 45652 b,HIP 30905
599,b,3.023573,0.0398,0.063,,0.226,Msini,,,HD 46375 b,HIP 31246
600,b,4.0845,0.05,0.038,,0.07167,Msini,,,HD 47186 b,HIP 31540
601,c,1353.6,2.395,0.249,,0.35061,Msini,,,HD 47186 c,HIP 31540
602,b,360.2,1.19,0.13,,2.37,Msini,,,HD 4732 b,HIP 3834
603,c,2732,4.6,0.23,,2.37,Msini,,,HD 4732 c,HIP 3834
604,b,712.13,1.93,0.2,,7.32,Msini,,,HD 47536 b,HIP 31688
605,b,780.3,1.81,0.08,,1.47,Msini,,,HD 48265 b,HIP 31895
606,b,4.94737,0.058,0.087,,0.105,Msini,,,HD 49674 b,HIP 32916
607,b,2482.7,3.86,0.23,,1.71,Msini,,,HD 50499 b,HIP 32970
608,b,1293,2.353,0.501,,4.954,Msini,,,HD 50554 b,HIP 33212
609,b,119.6,0.5,0.35,,1.05,Msini,,,HD 52265 b,HIP 33719
610,b,641,1.6697,0.02,,1.76,Msini,,,HD 5319 b,HIP 4297
611,c,886,2.071,0.15,,1.15,Msini,,,HD 5319 c,HIP 4297
613,b,792.6,1.9,0.19,,1.4,Msini,,,HD 5608 b,HIP 4552
614,b,492.3,1.2,0.096,,0.33,Msini,,,HD 564 b,HIP 801
615,b,177.11,0.76,0.066,,7.6,Msini,,,HD 5891 b,HIP 4715
616,b,299.36,1.086,0.05,,6.92,Msini,,,HD 59686 A b,HIP 36616
617,b,201.9,0.77,0.26,,1.06,Msini,,,HD 60532 b,HIP 36795
618,c,600.1,1.6,0.03,,2.51,Msini,,,HD 60532 c,HIP 36795
619,b,589.64,1.64,0.02,,2.3,Msini,,,HD 62509 b,HIP 37826
620,b,2.818049,0.0368,0,,0.398,Msini,1.098,,HD 63454 b,HIP 37284
621,b,358,0.94,0.24,,0.64,Msini,,,HD 63765 b,HIP 38041
622,b,22.017,0.148,0.146,,0.44,Msini,,,HD 6434 b,HIP 5054
623,b,572.4,1.3,0,,1.26,Msini,,,HD 65216 b,HIP 38558
624,c,152.6,0.54,0.02,,0.17,Msini,,,HD 65216 c,HIP 38558
625,b,480.5,1.2,0.07,,6,Msini,,,HD 66141 b,HIP 39311
626,b,1973,3.18,0.465,,2.82,Msini,,,HD 66428 b,HIP 39417
627,b,352.2,1.08,0.17,,3.06,Msini,,,HD 67087 b,HIP 39767
628,c,2374,3.86,0.76,,4.85,Msini,,,HD 67087 c,HIP 39767
629,b,2496,3.56,0.1,,1.56,Msini,,,HD 6718 b,HIP 5301
630,b,1103,2.18,0.03,,3.07,Msini,,,HD 68402 b,HIP 39589
631,b,6.27711,0.0704,0.1249,,1.86,Msini,,,HD 68988 b,HIP 40687
632,b,8.667,0.0785,0.1,,0.0321,Msini,,,HD 69830 b,HIP 40693
633,c,31.56,0.186,0.13,,0.0371,Msini,,,HD 69830 c,HIP 40693
634,d,197,0.63,0.07,,0.057,Msini,,,HD 69830 d,HIP 40693
636,b,2068,3.23,0.034,,1.97,Msini,,,HD 70642 b,HIP 40952
637,b,615,1.36,0.19,,0.29,Msini,,,HD 7199 b,HIP 5529
638,b,3658,4.74,0.22,,3.15,Msini,,,HD 72659 b,HIP 42030
639,b,39.475,0.228,0.423,,5.45,Msini,,,HD 72892 b,HIP 42098
640,b,2.54858,0.037,0.029,,1.87,Msini,,,HD 73256 b,HIP 42214
641,b,1260,2.198,0.256,,3.06,Msini,,,HD 73267 b,HIP 42202
642,b,188.9,0.65,0.29,,2.25,Msini,,,HD 73526 b,HIP 42282
643,c,379.1,1.03,0.28,,2.25,Msini,,,HD 73526 c,HIP 42282
644,b,1770,3.067,0.074,,1.103,Msini,,,HD 73534 b,HIP 42446
645,b,51.645,0.292,0.627,,1.8,Msini,,,HD 74156 b,HIP 42723
646,c,2473,3.85,0.432,,8.06,Msini,,,HD 74156 c,HIP 42723
647,b,1275,2.3,0.82,,1.11,Msini,,,HD 7449 b,HIP 5806
648,b,3.509267,0.0482,0.034,,0.467,Msini,,,HD 75289 b,HIP 43177
649,b,341.7,1.073,0.13,,1.15,Msini,,,HD 75784 b,HIP 43569
650,b,418.2,1.19,0.1,,2.51,Msini,,,HD 75898 b,HIP 43674
651,b,3.971,0.049,0,,0.197,Msini,,,HD 76700 b,HIP 43686
652,b,5.7361,0.0614,0.09,,0.05,Mass,,,HD 77338 b,HIP 44291
653,b,5.39792,0.05664,0.058,,0.02731,Msini,,,HD 7924 b,HIP 6379
654,c,15.299,0.1134,0.098,,0.02473,Msini,,,HD 7924 c,HIP 6379
655,d,24.451,0.1551,0.21,,0.02026,Msini,,,HD 7924 d,HIP 6379
656,b,1966.1,3.13,0.59,,1.34,Msini,,,HD 79498 b,HIP 45406
657,b,111.4357,0.449,0.9332,89.32,3.94,Mass,0.98,,HD 80606 b,HIP 45982
658,b,1001.7,1.94,0.526,,6.86,Msini,,,HD 81040 b,HIP 46076
659,b,184.02,0.81,0,,2.7,Msini,,,HD 81688 b,HIP 46471
660,b,705,1.65,0.066,,1.3,Msini,,,HD 82886 b,HIP 47087
661,b,441.47,1.18306,0.162,90,1.681,Mass,,,HD 82943 b,HIP 47007
662,c,220.078,0.74345,0.3663,90,1.959,Mass,,,HD 82943 c,HIP 47007
663,b,2.985698,0.0406,0.012,,0.398,Msini,,,HD 83443 b,HIP 47202
664,b,1313,2.45,0.15,,0.68,Msini,,,HD 8535 b,HIP 6511
665,b,788,1.52,0.41,,0.132,Msini,,,HD 85390 b,HIP 48235
666,b,58.43,0.26,0.11,90,0.011,Msin(i)/sin(i),,,HD 85512 b,HIP 48331
667,b,227,0.757,0.297,,1.8,Msini,,,HD 8574 b,HIP 6643
668,b,2.1375,0.035,0.008,,1.5,Msini,,,HD 86081 b,HIP 48711
669,b,1695,2.84,0.15,,0.92,Msini,,,HD 86226 b,HIP 48739
670,b,1475,2.86,0.7,,7,Msini,,,HD 86264 b,HIP 48780
671,b,1634,3.02,0.723,,14.2,Msini,,,HD 8673 b,HIP 6702
672,b,1270,2.72,0.17,,3.6,Msini,,,HD 86950 b,HIP 49129
673,b,13.481,0.117,0.05,,12.4,Msini,,,HD 87646 b,HIP 49522 A
674,b,2754,3.6,0.53,,1.78,Msini,,,HD 87883 b,HIP 49699
675,b,3.4148674,0.04691,0.05,15,1.02,Mass,,,HD 88133 b,HIP 49813
